iter	Passed	Remaining
365	657	1138
366	658	1135
367	659	1132
368	661	1130
369	662	1127
370	663	1124
371	666	1125
372	668	1123
373	669	1120
374	670	1117
375	671	1114
376	672	1111
377	673	1108
378	674	1105
379	675	1102
380	676	1099
381	677	1096
382	682	1098
383	683	1096
384	684	1093
385	685	1090
386	686	1087
387	687	1084
388	688	1081
389	689	1079
390	691	1076
391	692	1073
392	695	1073
393	696	1071
394	697	1068
395	698	1065
396	699	1063
397	700	1060
398	702	1057
399	703	1054
400	704	1052
401	705	1049
402	706	1046
403	707	1043
404	711	1044
405	712	1043
406	714	1040
407	715	1037
408	716	1035
409	717	1032
410	718	1029
411	719	1027
412	720	1024
413	721	1021
414	724	1021
415	726	1020
416	727	1017
417	728	1014
418	729	1012
419	730	1009
420	732	1006
421	733	1004
422	734	1001
423	735	998
424	736	996
425	739	996
426	740	993
427	741	991
428	742	988
429	743	985
430	744	983
431	745	980
432	747	978
433	748	975
434	749	972
435	750	970
436	751	968
437	753	967
438	755	964
439	756	962
440	757	959
441	758	957
442	759	954
443	760	952
444	761	949
445	762	947
446	763	945
447	765	942
448	768	943
449	769	940
450	771	938
451	772	936
452	773	933
453	774	931
454	776	929
455	777	927
456	778	925
457	779	922
458	781	921
459	783	920
